"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"19/04/21 06:35:51.625","Démarrage du système"
"19/04/21 06:35:51.625","Version de config: 4"
"19/04/21 06:35:51.625","Version de sécurité: 2"
"19/04/21 06:35:51.625","Paramètres BDD valides"
"19/04/21 06:35:51.625","Section nvol valide"
"19/04/21 07:11:10",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:11:20",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:11:30",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:11:40",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:11:50",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:12:00",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:12:10",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:12:20",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:12:30",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:12:40",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:12:50",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:13:00",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:13:10",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:13:20",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:13:30",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:13:40",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:13:50",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:14:00",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:14:10",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:14:20",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:14:30",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:14:40",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:14:50",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:15:00",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:15:10",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:15:20",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:15:30",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:15:40",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:15:50",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:16:00",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:16:10",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:16:20",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:16:30",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:16:40",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:16:50",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:17:00",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:17:10",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:17:20",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:17:30",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:17:40",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:17:50",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:18:00",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:18:10",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:18:20",,30.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:18:30",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:18:40",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:18:50",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:19:00",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:19:10",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:19:20",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:19:30",,30.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:19:40",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:19:50",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:20:00",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:20:10",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:20:20",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:20:30",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:20:40",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:20:50",,30.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:21:00",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:21:10",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:21:20",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:21:30",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:21:40",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:21:50",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:22:00",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:22:10",,30.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:22:20",,30.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:22:30",,30.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:22:40",,30.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:22:50",,30.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:23:00",,30.5,">Gamme",">Gamme",">Gamme",0.0,0
