"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"03/05/21 07:39:56.625","Démarrage du système"
"03/05/21 07:39:56.625","Version de config: 4"
"03/05/21 07:39:56.625","Version de sécurité: 2"
"03/05/21 07:39:56.625","Paramètres BDD valides"
"03/05/21 07:39:56.625","Section nvol valide"
"03/05/21 08:10:10",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:10:20",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:10:30",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:10:40",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:10:50",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:11:00",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:11:10",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:11:20",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:11:30",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:11:40",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:11:50",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:12:00",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:12:10",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:12:20",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:12:30",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:12:40",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:12:50",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:13:00",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:13:10",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:13:20",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:13:30",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:13:40",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:13:50",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:14:00",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:14:10",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:14:20",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:14:30",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:14:40",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:14:50",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:15:00",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:15:10",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:15:20",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:15:30",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:15:40",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:15:50",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:16:00",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:16:10",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:16:20",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:16:30",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:16:40",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:16:50",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:17:00",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:17:10",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:17:20",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:17:30",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:17:40",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:17:50",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:18:00",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:18:10",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:18:20",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:18:30",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:18:40",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:18:50",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:19:00",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:19:10",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:19:20",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:19:30",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:19:40",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:19:50",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:20:00",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:20:10",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:20:20",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:20:30",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:20:40",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:20:50",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:21:00",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:21:10",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:21:20",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:21:30",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:21:40",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:21:50",,29.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:22:00",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:22:10",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:22:20",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:22:30",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:22:40",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:22:50",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:23:00",,29.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:23:10",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:23:20",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:23:30",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:23:40",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:23:50",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:24:00",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:24:10",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:24:20",,29.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:24:30",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:24:40",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:24:50",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:25:00",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:25:10",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:25:20",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:25:30",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:25:40",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:25:50",,29.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:26:00",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:26:10",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:26:20",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:26:30",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:26:40",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:26:50",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:27:00",,30.0,">Gamme",">Gamme",">Gamme",0.0,0
